id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],mean_acc_[MCCVM$_5$],current_acc_[MCCVM$_5$],mean_acc_[MCCVM$_{300}$],current_acc_[MCCVM$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{300}$],model_size_[MCCVM$_5$],model_size_[MCCVM$_{300}$]
27999,0.299353,0.435000,0.453345,0.420000,0.571799,0.575000,0.138381,0.150000,0.155576,0.175000,129.233398,163.241211,2277.784180,22.132812,76.222656
28199,0.300071,0.400000,0.453929,0.535000,0.572071,0.610000,0.138429,0.145000,0.155464,0.140000,129.233398,163.577148,2363.307617,22.476562,65.300781
28399,0.300071,0.300000,0.454043,0.470000,0.572199,0.590000,0.138475,0.145000,0.155745,0.195000,129.233398,163.577148,2280.815430,22.476562,106.332031
28599,0.300634,0.380000,0.453979,0.445000,0.572394,0.600000,0.138380,0.125000,0.155599,0.135000,129.233398,163.577148,2312.897461,22.476562,104.785156
28799,0.301294,0.395000,0.453741,0.420000,0.572587,0.600000,0.138252,0.120000,0.155350,0.120000,129.233398,162.967773,2268.026367,22.476562,84.453125
28999,0.301701,0.360000,0.453611,0.435000,0.572222,0.520000,0.138194,0.130000,0.155139,0.125000,129.233398,163.913086,2354.018555,22.476562,65.859375
29199,0.302138,0.365000,0.453793,0.480000,0.572241,0.575000,0.138138,0.130000,0.155241,0.170000,129.233398,162.936523,2358.495117,22.476562,78.878906
29399,0.302671,0.380000,0.454212,0.515000,0.572226,0.570000,0.138185,0.145000,0.155137,0.140000,129.233398,163.577148,2405.905273,22.476562,91.242188
29599,0.303367,0.405000,0.454456,0.490000,0.572585,0.625000,0.138435,0.175000,0.155170,0.160000,129.233398,163.577148,2350.440430,22.476562,71.375000
29799,0.303581,0.335000,0.454426,0.450000,0.572669,0.585000,0.138412,0.135000,0.155507,0.205000,129.233398,163.241211,2362.475586,22.476562,109.761719
29999,0.303993,0.365000,0.454765,0.505000,0.572819,0.595000,0.138557,0.160000,0.155772,0.195000,129.233398,163.913086,2321.971680,22.476562,114.316406
30199,0.304133,0.325000,0.454600,0.430000,0.571867,0.430000,0.138567,0.140000,0.155800,0.160000,129.233398,163.913086,2178.135742,22.476562,113.484375
30399,0.304570,0.370000,0.454371,0.420000,0.571987,0.590000,0.138377,0.110000,0.155960,0.180000,129.233398,163.241211,2187.624023,22.476562,117.449219
30599,0.304967,0.365000,0.454276,0.440000,0.572138,0.595000,0.138553,0.165000,0.155921,0.150000,129.233398,163.272461,2285.284180,22.476562,73.718750
30799,0.305654,0.410000,0.454444,0.480000,0.572190,0.580000,0.138627,0.150000,0.156111,0.185000,129.233398,163.913086,2243.842773,22.476562,86.039062
